reason,problem,callDisposition,citationIssued,personSearch,vehicleSearch,preRace,race,gender,policePrecinct,neighborhood
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Native American,Native American,Female,Five,Stevens Square/Loring Heights
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,Five,Stevens Square/Loring Heights
Citizen / 9-1-1,Suspicious Person (P),TRN-Transport,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Investigative,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,White,White,Male,Four,Jordan
Citizen / 9-1-1,Suspicious Vehicle (P),TAG-Tagged,YES,YES,YES,Black,Black,Male,Three,Powderhorn Park
Moving Violation,Traffic Law Enforcement (P),RPT-Report,NO,YES,YES,Black,Black,Male,Three,East Phillips
Citizen / 9-1-1,Suspicious Person (P),BKG-Booking,NO,YES,NO,Black,Black,Female,One,Downtown West
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,YES,Black,Black,Male,Four,Hawthorne
Investigative,Suspicious Person (P),ADV-Advised,NO,YES,NO,Unknown,East African,Male,One,Cedar Riverside
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,White,White,Female,Five,Lowry Hill East
Investigative,Curfew Violations (P),TRN-Transport,NO,YES,NO,Black,Black,Male,One,Downtown West
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Female,One,Downtown West
Moving Violation,Traffic Law Enforcement (P),BKG-Booking,NO,YES,YES,Unknown,Latino,Male,Four,Near/North
Investigative,Suspicious Vehicle (P),RPT-Report,NO,YES,YES,Black,Black,Male,Four,Near/North
Equipment Violation,Suspicious Vehicle (P),BKG-Booking,NO,YES,NO,Unknown,Black,Male,Four,Webber/Camden
Investigative,Suspicious Vehicle (P),TOW-Towed,NO,YES,YES,Unknown,Black,Female,Four,Near/North
Investigative,Suspicious Person (P),SNT-Sent,NO,YES,NO,Black,Black,Male,Three,Ventura Village
Citizen / 9-1-1,Suspicious Person (P),SNT-Sent,NO,YES,NO,Unknown,Black,Male,Four,Harrison
Investigative,Suspicious Person (P),BKG-Booking,NO,YES,NO,Native American,Native American,Male,One,Downtown West
